,date,open,close,high,low,volume,money
0,2005-01-31,5.22,5.68,5.81,5.17,208676900.0,1154854586.0
1,2005-02-28,5.7,5.7,6.27,5.63,230874104.0,1377961389.0
2,2005-03-31,5.7,5.52,5.95,5.2,319988538.0,1795570803.0
3,2005-04-28,5.53,5.9,5.97,5.49,272493321.0,1565761776.0
4,2005-05-31,5.9,4.65,5.91,4.53,191620768.0,966947996.0
5,2005-06-30,4.65,3.14,5.09,3.13,364676426.0,1684249707.0
6,2005-07-29,3.14,3.84,3.85,3.12,620119174.0,2159764883.0
7,2005-08-31,3.88,3.66,4.09,3.52,1237314810.0,4727666601.0
8,2005-09-30,3.65,3.59,3.93,3.54,582088020.0,2181006095.0
9,2005-10-31,3.86,3.84,3.93,3.67,398150299.0,1522647975.0
10,2005-11-04,3.84,3.95,3.96,3.81,157525934.0,613206556.0
11,2005-12-30,3.7,4.31,4.51,3.62,878820060.0,3572522019.0
12,2006-01-25,4.4,4.93,5.03,4.27,721430192.0,3317423572.0
13,2006-02-28,4.96,5.46,5.78,4.91,785578941.0,4249131338.0
14,2006-03-31,5.46,6.55,6.98,4.95,949440648.0,5601089952.0
15,2006-04-28,6.55,6.23,7.1,6.0,1249304144.0,8253864827.0
16,2006-05-31,6.28,5.97,7.17,5.77,1564789274.0,9734456612.0
17,2006-06-30,5.97,5.65,5.99,5.14,1044664144.0,5770034997.0
18,2006-07-31,5.69,5.54,6.49,5.51,881945238.0,5268551626.0
19,2006-08-31,5.58,6.9,7.07,5.46,819170533.0,5163905564.0
20,2006-09-29,6.93,7.57,7.83,6.57,727511395.0,5223235110.0
21,2006-10-31,7.68,8.19,8.55,7.0,635726833.0,4885253113.0
22,2006-11-30,8.2,11.98,11.98,7.92,1238293569.0,12382945487.0
23,2006-12-29,12.06,15.44,15.93,11.51,1220619542.0,16328547746.0
24,2007-01-31,15.7,15.31,19.41,14.51,1616761452.0,27346313961.0
25,2007-02-28,15.0,14.74,17.6,13.7,913244966.0,14019991888.0
26,2007-03-30,14.77,16.59,17.5,13.86,1288987918.0,20568494628.0
27,2007-04-30,16.53,18.08,19.91,16.52,1426825658.0,25801254869.0
28,2007-05-31,18.68,19.41,24.55,14.65,2536210820.0,47644080970.0
29,2007-06-29,19.55,19.12,21.44,14.9,2617179910.0,49617697876.0
30,2007-07-31,19.0,28.3,29.55,18.02,1742037280.0,41038607738.0
31,2007-08-31,28.3,33.8,36.89,27.81,2109368911.0,69736279750.0
32,2007-09-28,33.84,30.2,35.16,28.9,1623610315.0,51485400195.0
33,2007-10-31,30.98,38.93,38.93,30.3,1781467353.0,59827870671.0
34,2007-11-30,39.0,31.55,40.78,29.34,1015773615.0,35509192573.0
35,2007-12-28,31.48,28.84,34.39,26.6,1602404892.0,47092162976.0
36,2008-01-31,29.02,26.05,31.89,23.4,1846964761.0,52062822650.0
37,2008-02-29,26.18,23.25,29.4,21.86,789053418.0,20282436749.0
38,2008-03-31,23.11,25.6,26.66,20.1,1812054344.0,42737139721.0
39,2008-04-30,25.58,24.37,27.1,18.35,1834398495.0,43124544757.0
40,2008-05-30,24.6,19.75,25.2,18.7,1476302867.0,31521200618.0
41,2008-06-30,19.51,9.01,20.57,8.73,1565780499.0,19354347732.0
42,2008-07-31,9.05,8.5,10.38,8.02,2710441412.0,24528356828.0
43,2008-08-29,8.46,7.08,8.85,6.58,1370479959.0,10189772159.0
44,2008-09-26,6.99,6.53,7.0,4.8,1908759819.0,11236691062.0
45,2008-10-31,6.3,5.88,7.2,5.3,3709749740.0,23962269295.0
46,2008-11-28,5.82,6.82,7.48,5.4,4800606312.0,31676566880.0
47,2008-12-31,6.82,6.45,8.05,6.26,3706038896.0,27088857152.0
48,2009-01-23,6.58,7.04,7.25,6.48,1399289052.0,9653974304.0
49,2009-02-27,7.09,7.15,8.65,6.75,5016339912.0,38998353760.0
50,2009-03-31,7.15,8.28,8.73,7.05,4087040920.0,33098404992.0
51,2009-04-30,8.28,8.48,8.95,7.92,3880930768.0,32849600448.0
52,2009-05-27,8.5,9.74,10.68,8.43,3718829968.0,36157471040.0
53,2009-06-30,9.99,12.75,13.24,9.99,3767244832.0,43531994560.0
54,2009-07-31,12.73,13.36,14.94,12.31,5481299689.0,76236315507.0
55,2009-08-31,13.39,9.4,13.6,9.29,3949379640.0,47303257344.0
56,2009-09-30,9.35,10.42,12.3,9.21,3492241128.0,38503059008.0
57,2009-10-30,10.65,11.51,12.77,10.49,2172557432.0,25862641984.0
58,2009-11-30,11.19,11.53,12.48,11.11,3900696168.0,46742354176.0
59,2009-12-31,11.56,10.81,12.58,10.18,3752002480.0,42528280320.0
60,2010-01-29,10.85,9.34,10.87,9.18,2438423717.0,24370919453.0
61,2010-02-26,9.3,9.43,9.55,9.03,942774216.0,8769396512.0
62,2010-03-31,9.43,9.5,9.7,9.12,1516214508.0,14380441888.0
63,2010-04-30,9.5,7.8,9.85,7.6,2085605860.0,18301191232.0
64,2010-05-31,7.64,7.21,7.82,6.83,1454293736.0,10689590240.0
65,2010-06-30,7.18,6.78,7.39,6.76,896167462.0,6419848272.0
66,2010-07-30,6.78,8.29,8.38,6.65,1659043216.0,12690229120.0
67,2010-08-31,8.28,8.42,9.02,7.7,2167758232.0,18374429248.0
68,2010-09-30,8.41,8.4,8.9,7.64,1417329656.0,11739579520.0
69,2010-10-29,8.3,9.7,10.04,8.15,2831296360.0,26306469440.0
70,2010-11-30,9.66,8.13,10.09,7.89,2731315964.0,24465432512.0
71,2010-12-31,8.13,8.22,9.44,8.04,2221366204.0,19135251936.0
72,2011-01-31,8.27,8.2,9.34,7.95,2091898412.0,18096723424.0
73,2011-02-28,8.23,8.16,8.7,7.98,1557498460.0,12895765248.0
74,2011-03-30,8.16,8.69,8.93,8.1,2168255240.0,18311308096.0
75,2011-04-29,8.57,8.48,9.28,8.3,1133133296.0,9944064736.0
76,2011-05-31,8.47,7.84,8.51,7.61,826538770.0,6781269264.0
77,2011-06-30,7.82,8.45,8.52,7.64,1004041552.0,8183090464.0
78,2011-07-29,8.43,8.15,9.02,8.01,1199179896.0,10288658608.0
79,2011-08-31,8.15,8.15,8.68,7.94,920311535.0,7638344912.0
80,2011-09-30,8.16,7.24,8.2,6.88,811610823.0,6235982192.0
81,2011-10-31,7.23,8.0,8.28,6.9,792775764.0,5918458272.0
82,2011-11-30,7.91,7.06,8.05,6.99,830168826.0,6178753840.0
83,2011-12-30,7.4,7.47,7.73,7.05,924052928.0,6847794016.0
84,2012-01-31,7.47,7.65,7.96,7.06,978179960.0,7358988160.0
85,2012-02-29,7.61,8.28,8.72,7.38,1683528336.0,13370007264.0
86,2012-03-30,8.24,8.28,8.85,7.93,1164602256.0,9732905792.0
87,2012-04-27,8.22,8.98,9.08,8.19,864667370.0,7444098256.0
88,2012-05-31,9.03,9.25,9.49,8.55,1107535016.0,9975857536.0
89,2012-06-29,9.25,8.91,9.44,8.59,1047363858.0,9514150128.0
90,2012-07-31,8.94,9.23,9.95,8.74,1256639008.0,11851080544.0
91,2012-08-31,9.23,8.02,9.44,7.88,1159596438.0,9856013504.0
92,2012-09-28,8.03,8.43,8.88,7.6,1017390644.0,8363038576.0
93,2012-10-31,8.37,8.32,8.57,8.08,790201894.0,6565077904.0
94,2012-11-30,8.3,8.75,8.92,8.07,952437534.0,8080448512.0
95,2012-12-25,8.75,10.12,10.26,8.62,1526196352.0,14299820224.0
96,2013-01-31,11.13,12.01,12.75,11.13,1476447852.0,17661985584.0
97,2013-02-28,12.05,12.0,12.52,10.73,1606294328.0,18713775744.0
98,2013-03-29,12.01,10.76,12.18,10.33,2104671920.0,23210674688.0
99,2013-04-26,10.83,11.03,12.0,10.6,1391888360.0,15703918784.0
100,2013-05-31,10.88,11.98,12.61,10.86,1666781990.0,19748445120.0
101,2013-06-28,12.01,9.85,12.2,8.38,1781868260.0,17923934720.0
102,2013-07-31,9.74,9.52,11.01,8.93,2432518412.0,24054586112.0
103,2013-08-30,9.57,9.46,10.5,9.36,2051129008.0,20197516416.0
104,2013-09-30,9.5,9.13,10.45,8.95,2067892680.0,20017896320.0
105,2013-10-31,9.11,9.21,9.65,8.67,1491160556.0,13698422144.0
106,2013-11-29,9.15,8.76,9.5,8.48,1415912700.0,12564787392.0
107,2013-12-31,8.7,8.03,8.85,7.71,1325826708.0,11001440864.0
108,2014-01-30,7.99,7.38,8.07,7.04,1453254860.0,10836254336.0
109,2014-02-28,7.34,6.72,7.62,6.52,1539859136.0,10967993088.0
110,2014-03-31,6.67,8.09,8.24,6.56,2917390900.0,21988520896.0
111,2014-04-30,8.08,7.9,8.4,7.62,1629667348.0,13003475328.0
112,2014-05-30,7.85,8.55,8.75,7.1,1649518900.0,13088591648.0
113,2014-06-30,8.51,8.27,8.63,7.96,1184961872.0,9789974608.0
114,2014-07-31,8.29,9.9,10.09,8.05,1937779048.0,17632748352.0
115,2014-08-29,9.8,9.12,9.98,9.01,1346537096.0,12720393984.0
116,2014-09-30,9.12,9.18,9.86,9.1,1556463788.0,14593143232.0
117,2014-10-31,9.54,9.4,9.8,8.74,1327366238.0,12365319456.0
118,2014-11-28,9.43,10.9,11.0,9.14,2761624020.0,27150254624.0
119,2014-12-31,10.9,13.9,13.9,10.46,6499492944.0,77133357440.0
120,2015-01-30,14.39,13.12,15.29,12.06,5549188688.0,75036201856.0
121,2015-02-27,12.79,12.75,13.53,11.74,2598023304.0,32879762816.0
122,2015-03-31,13.02,13.82,14.97,11.53,5738466720.0,74792946176.0
123,2015-04-30,13.73,14.6,15.25,13.19,8827346432.0,125734895104.0
124,2015-05-29,14.62,14.35,15.87,13.41,7266022336.0,105379360000.0
125,2015-06-30,14.38,14.52,16.25,12.8,6716989056.0,99449372928.0
126,2015-07-31,14.25,14.18,16.0,12.81,8240796952.0,119906385920.0
127,2015-08-31,14.1,13.8,15.93,12.54,3167320052.0,44749396480.0
128,2015-09-30,13.7,12.73,14.5,12.52,1420291862.0,19186244384.0
129,2015-10-30,13.25,13.67,13.97,13.03,901195708.0,12141516768.0
130,2015-11-30,13.61,15.07,15.27,13.54,1526507444.0,21994557504.0
131,2015-12-18,14.99,24.43,24.43,14.93,4023961536.0,76758124032.0
132,2016-07-29,21.99,17.14,21.99,16.74,4861542374.0,89006674282.8
133,2016-08-31,17.01,24.93,27.68,16.9,5299791984.0,120837795902.34998
134,2016-09-30,25.0,26.17,27.45,22.5,2872686457.0,70671442450.77
135,2016-10-31,25.0,24.92,27.41,24.5,1308260599.0,33831656517.649998
136,2016-11-30,25.2,26.98,29.0,24.03,2383329709.0,63113524686.090004
137,2016-12-30,26.56,20.55,27.3,20.1,1100528851.0,25291365369.810005
138,2017-01-26,20.55,20.68,22.4,20.31,488024229.0,10243954545.69
139,2017-02-28,20.69,20.53,21.35,20.47,480183463.0,9957444247.669998
140,2017-03-31,20.55,20.58,22.4,20.12,904543938.0,19082327817.28
141,2017-04-28,20.63,19.5,21.57,19.0,589813560.0,12095067168.7
142,2017-05-31,19.3,21.26,21.58,18.32,495826702.0,9744083698.759998
143,2017-06-30,21.1,24.97,26.48,20.71,1111376160.0,26133603515.43
144,2017-07-31,24.76,23.37,26.7,22.94,1168147364.0,28728146158.6
145,2017-08-31,23.35,23.23,24.42,21.72,784722195.0,18033657764.210003
146,2017-09-29,23.26,26.25,30.22,22.69,1396414980.0,37544951185.22001
147,2017-10-31,27.45,28.96,29.28,25.61,652869836.0,17731045808.93
148,2017-11-30,28.96,31.22,33.83,26.7,1249095746.0,37370308918.47001
149,2017-12-29,30.5,31.06,32.03,28.04,911375324.0,27444748036.7
150,2018-01-31,31.45,37.56,42.24,31.45,1412056208.0,52553325806.479996
151,2018-02-28,37.5,32.7,38.06,30.2,810923791.0,27750005312.62
152,2018-03-30,32.17,33.29,34.46,29.21,905611988.0,29271329911.450005
153,2018-04-27,33.65,28.4,34.47,27.42,756570267.0,23528512694.18
154,2018-05-31,28.4,25.59,28.86,24.56,941762377.0,25386256395.12
155,2018-06-29,25.39,24.6,28.5,23.5,1100600610.0,29555046508.48
156,2018-07-31,24.5,23.32,25.09,22.02,956764162.0,22471380434.83
157,2018-08-31,23.24,24.05,24.4,20.52,1149447643.0,26190172927.36
158,2018-09-28,23.85,24.3,26.0,22.47,1058988567.0,25404043444.72
159,2018-10-31,22.95,24.23,24.75,20.4,1131501336.0,25283770460.12
160,2018-11-30,24.9,25.44,26.68,23.4,949728103.0,23503332020.72
161,2018-12-28,26.0,23.82,27.47,23.33,805606915.0,20317352591.57
162,2019-01-31,23.83,27.75,28.15,23.67,687474793.0,17620537159.45
163,2019-02-28,28.15,27.99,28.85,26.25,1036834690.0,28475304565.09
164,2019-03-29,28.1,30.72,30.75,26.36,1590085931.0,45606076897.37001
165,2019-04-30,31.02,28.88,33.6,28.38,1287407042.0,39951842127.04
166,2019-05-31,28.0,26.7,28.31,26.3,651739771.0,17887784721.6
167,2019-06-28,26.81,27.81,28.52,26.25,629558187.0,17460711791.75
168,2019-07-31,28.18,28.76,31.45,28.0,953324336.0,28195769476.379997
169,2019-08-30,28.5,25.8,28.75,25.65,865955735.0,23369270611.339996
170,2019-09-30,25.75,25.9,27.81,25.61,966977872.0,25776209991.789997
171,2019-10-31,26.01,26.53,27.76,26.01,1160658234.0,31323733374.789997
172,2019-11-29,26.56,27.7,28.7,26.0,1185824118.0,32125549379.290005
173,2019-12-31,27.87,32.18,32.45,27.61,1891028550.0,55902212392.46999
