,display_name,name,start_date,end_date,type
000001.XSHG,上证指数,SZZS,1991-07-15,2200-01-01,index
000002.XSHG,A股指数,AGZS,1992-02-21,2200-01-01,index
000003.XSHG,B股指数,BGZS,1992-02-21,2200-01-01,index
000004.XSHG,工业指数,GYZS,1993-05-03,2200-01-01,index
000005.XSHG,商业指数,SYZS,1993-05-03,2200-01-01,index
000006.XSHG,地产指数,DCZS,1993-05-03,2200-01-01,index
000007.XSHG,公用指数,GYZS,1993-05-03,2200-01-01,index
000008.XSHG,综合指数,ZHZS,1993-05-03,2200-01-01,index
000009.XSHG,上证380,SZ380,2010-11-29,2200-01-01,index
000010.XSHG,上证180,SZ180,2002-07-01,2200-01-01,index
000011.XSHG,基金指数,JJZS,2000-06-09,2200-01-01,index
000012.XSHG,国债指数,GZZS,2003-01-02,2200-01-01,index
000013.XSHG,上证企业债指数,QZZS,2003-06-09,2200-01-01,index
000015.XSHG,红利指数,HLZS,2005-01-04,2200-01-01,index
000016.XSHG,上证50,SZ50,2004-01-02,2200-01-01,index
000017.XSHG,新综指,XZZ,2006-01-04,2200-01-01,index
000018.XSHG,180金融,180JR,2007-12-10,2200-01-01,index
000019.XSHG,治理指数,ZLZS,2008-01-02,2200-01-01,index
000020.XSHG,中型综指,ZXZZ,2008-05-12,2200-01-01,index
000021.XSHG,180治理,180ZL,2008-09-10,2200-01-01,index
000022.XSHG,上证公司债指数,HGSZ,2008-11-19,2200-01-01,index
000025.XSHG,180基建,180JJ,2008-12-15,2200-01-01,index
000026.XSHG,180资源,180ZY,2008-12-15,2200-01-01,index
000027.XSHG,180运输,180YS,2008-12-15,2200-01-01,index
000028.XSHG,180成长,180CZ,2009-01-09,2200-01-01,index
000029.XSHG,180价值,180JZ,2009-01-09,2200-01-01,index
000030.XSHG,180R成长,180RCZ,2009-01-09,2200-01-01,index
000031.XSHG,180R价值,180RJZ,2009-01-09,2200-01-01,index
000032.XSHG,上证能源,SZNY,2009-01-09,2200-01-01,index
000033.XSHG,上证材料,SZCL,2009-01-09,2200-01-01,index
000034.XSHG,上证工业,SZGY,2009-01-09,2200-01-01,index
000035.XSHG,上证可选,SZKX,2009-01-09,2200-01-01,index
000036.XSHG,上证消费,SZXF,2009-01-09,2200-01-01,index
000037.XSHG,上证医药,SZYY,2009-01-09,2200-01-01,index
000038.XSHG,上证金融,SZJR,2009-01-09,2200-01-01,index
000039.XSHG,上证信息,SZXX,2009-01-09,2200-01-01,index
000040.XSHG,上证电信,SZDX,2009-01-09,2200-01-01,index
000041.XSHG,上证公用,SZGY,2009-01-09,2200-01-01,index
000042.XSHG,上证央企,SZYQ,2009-03-30,2200-01-01,index
000043.XSHG,超大盘,CDP,2009-04-23,2200-01-01,index
000044.XSHG,上证中盘,SZZP,2009-07-03,2200-01-01,index
000045.XSHG,上证小盘,SZXP,2009-07-03,2200-01-01,index
