,display_name,name,start_date,end_date,type
000001.XSHE,平安银行,PAYH,1991-04-03,2200-01-01,stock
000002.XSHE,万科A,WKA,1991-01-29,2200-01-01,stock
000004.XSHE,国农科技,GNKJ,1990-12-01,2200-01-01,stock
000005.XSHE,世纪星源,SJXY,1990-12-10,2200-01-01,stock
000006.XSHE,深振业A,SZYA,1992-04-27,2200-01-01,stock
000007.XSHE,全新好,QXH,1992-04-13,2200-01-01,stock
000008.XSHE,神州高铁,SZGT,1992-05-07,2200-01-01,stock
000009.XSHE,中国宝安,ZGBA,1991-06-25,2200-01-01,stock
000010.XSHE,*ST美丽,*STML,1995-10-27,2200-01-01,stock
000011.XSHE,深物业A,SWYA,1992-03-30,2200-01-01,stock
000012.XSHE,南玻A,NBA,1992-02-28,2200-01-01,stock
000014.XSHE,沙河股份,SHGF,1992-06-02,2200-01-01,stock
000016.XSHE,深康佳A,SKJA,1992-03-27,2200-01-01,stock
000017.XSHE,深中华A,SZHA,1992-03-31,2200-01-01,stock
000018.XSHE,*ST神城,*STSC,1992-06-16,2200-01-01,stock
000019.XSHE,深粮控股,SLKG,1992-10-12,2200-01-01,stock
000020.XSHE,深华发A,SHFA,1992-04-28,2200-01-01,stock
000021.XSHE,深科技,SKJ,1994-02-02,2200-01-01,stock
000022.XSHE,深赤湾A,SCWA,1993-05-05,2018-12-25,stock
000023.XSHE,深天地A,STDA,1993-04-29,2200-01-01,stock
000024.XSHE,招商地产,ZSDC,1993-06-07,2015-12-29,stock
000025.XSHE,特力A,TLA,1993-06-21,2200-01-01,stock
000026.XSHE,飞亚达A,FYDA,1993-06-03,2200-01-01,stock
000027.XSHE,深圳能源,SZNY,1993-09-03,2200-01-01,stock
000028.XSHE,国药一致,GYYZ,1993-08-09,2200-01-01,stock
000029.XSHE,深深房A,SSFA,1993-09-15,2200-01-01,stock
000030.XSHE,富奥股份,FAGF,1993-09-29,2200-01-01,stock
000031.XSHE,大悦城,DYC,1993-10-08,2200-01-01,stock
000032.XSHE,深桑达A,SSDA,1993-10-28,2200-01-01,stock
000033.XSHE,新都退,XDT,1994-01-03,2017-07-06,stock
000034.XSHE,神州数码,SZSM,1994-05-09,2200-01-01,stock
000035.XSHE,中国天楹,ZGTY,1994-04-08,2200-01-01,stock
000036.XSHE,华联控股,HLKG,1994-06-17,2200-01-01,stock
000037.XSHE,深南电A,SNDA,1994-07-01,2200-01-01,stock
000038.XSHE,深大通,SDT,1994-08-08,2200-01-01,stock
000039.XSHE,中集集团,ZJJT,1994-04-08,2200-01-01,stock
000040.XSHE,东旭蓝天,DXLT,1994-08-08,2200-01-01,stock
000042.XSHE,中洲控股,ZZKG,1994-09-21,2200-01-01,stock
000043.XSHE,中航善达,ZHSD,1994-09-28,2200-01-01,stock
000045.XSHE,深纺织A,SFZA,1994-08-15,2200-01-01,stock
000046.XSHE,泛海控股,FHKG,1994-09-12,2200-01-01,stock
000048.XSHE,康达尔,KDE,1994-11-01,2200-01-01,stock
000049.XSHE,德赛电池,DSDC,1995-03-20,2200-01-01,stock
000050.XSHE,深天马A,STMA,1995-03-15,2200-01-01,stock
000055.XSHE,方大集团,FDJT,1996-04-15,2200-01-01,stock
000056.XSHE,皇庭国际,HTGJ,1996-07-08,2200-01-01,stock
000058.XSHE,深赛格,SSG,1996-12-26,2200-01-01,stock
000059.XSHE,华锦股份,HJGF,1997-01-30,2200-01-01,stock
000060.XSHE,中金岭南,ZJLN,1997-01-23,2200-01-01,stock
000061.XSHE,农产品,NCP,1997-01-10,2200-01-01,stock
000062.XSHE,深圳华强,SZHQ,1997-01-30,2200-01-01,stock
000063.XSHE,中兴通讯,ZXTX,1997-11-18,2200-01-01,stock
000065.XSHE,北方国际,BFGJ,1998-06-05,2200-01-01,stock
000066.XSHE,中国长城,ZGCC,1997-06-26,2200-01-01,stock
000068.XSHE,华控赛格,HKSG,1997-06-11,2200-01-01,stock
000069.XSHE,华侨城A,HQCA,1997-09-10,2200-01-01,stock
000070.XSHE,特发信息,TFXX,2000-05-11,2200-01-01,stock
000078.XSHE,海王生物,HWSW,1998-12-18,2200-01-01,stock
000088.XSHE,盐田港,YTG,1997-07-28,2200-01-01,stock
000089.XSHE,深圳机场,SZJC,1998-04-20,2200-01-01,stock
000090.XSHE,天健集团,TJJT,1999-07-21,2200-01-01,stock
000096.XSHE,广聚能源,GJNY,2000-07-24,2200-01-01,stock
000099.XSHE,中信海直,ZXHZ,2000-07-31,2200-01-01,stock
000100.XSHE,TCL集团,TCLJT,2004-01-30,2200-01-01,stock
000150.XSHE,宜华健康,YHJK,2000-08-07,2200-01-01,stock
000151.XSHE,中成股份,ZCGF,2000-09-06,2200-01-01,stock
000153.XSHE,丰原药业,FYYY,2000-09-20,2200-01-01,stock
000155.XSHE,川能动力,CNDL,2000-09-26,2200-01-01,stock
000156.XSHE,华数传媒,HSCM,2000-09-06,2200-01-01,stock
000157.XSHE,中联重科,ZLZK,2000-10-12,2200-01-01,stock
000158.XSHE,常山北明,CSBM,2000-07-24,2200-01-01,stock
000159.XSHE,国际实业,GJSY,2000-09-26,2200-01-01,stock
000166.XSHE,申万宏源,SWHY,2015-01-26,2200-01-01,stock
000301.XSHE,东方盛虹,DFSH,2000-05-29,2200-01-01,stock
000333.XSHE,美的集团,MDJT,2013-09-18,2200-01-01,stock
000338.XSHE,潍柴动力,WCDL,2007-04-30,2200-01-01,stock
000400.XSHE,许继电气,XJDQ,1997-04-18,2200-01-01,stock
000401.XSHE,冀东水泥,JDSN,1996-06-14,2200-01-01,stock
000402.XSHE,金融街,JRJ,1996-06-26,2200-01-01,stock
000403.XSHE,振兴生化,ZXSH,1996-06-28,2200-01-01,stock
000404.XSHE,长虹华意,CHHY,1996-06-19,2200-01-01,stock
000406.XSHE,石油大明,SYDM,1996-06-28,2006-04-21,stock
000407.XSHE,胜利股份,SLGF,1996-07-03,2200-01-01,stock
000408.XSHE,藏格控股,CGKG,1996-06-28,2200-01-01,stock
000409.XSHE,ST地矿,STDK,1996-06-27,2200-01-01,stock
000410.XSHE,*ST沈机,*STSJ,1996-07-18,2200-01-01,stock
000411.XSHE,英特集团,YTJT,1996-07-16,2200-01-01,stock
000413.XSHE,东旭光电,DXGD,1996-09-25,2200-01-01,stock
000415.XSHE,渤海租赁,BHZL,1996-07-16,2200-01-01,stock
000416.XSHE,民生控股,MSKG,1996-07-19,2200-01-01,stock
000417.XSHE,合肥百货,HFBH,1996-08-12,2200-01-01,stock
000418.XSHE,小天鹅A,XTEA,1997-03-28,2019-06-20,stock
